"id","listing_url","scrape_id","last_scraped","source","name","picture_url","host_id","host_url","host_name","host_since","host_response_time","host_is_superhost","host_thumbnail_url","host_picture_url","host_listings_count","host_total_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms_text","beds","minimum_nights","maximum_nights","minimum_minimum_nights","maximum_minimum_nights","minimum_maximum_nights","maximum_maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","has_availability","availability_30","availability_60","availability_90","availability_365","calendar_last_scraped","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","calculated_host_listings_count_shared_rooms","reviews_per_month","host_response_rate_in_percent","host_acceptance_rate_in_percent","price_in_usd","price_per_person"
1008064777477934080,"https://www.airbnb.com/rooms/1008064777477934109",20231227173841,2023-12-27,"city scrape","Serviced apartment in Zürich · ★3.33 · 1 bedroom · 2 beds · 1 bath","https://a0.muscache.com/pictures/miso/Hosting-1008064777477934109/original/4332a4f0-c097-4a32-8058-b14c0988341a.jpeg",394644638,"https://www.airbnb.com/users/show/394644638","Marco",2021-03-29,"within an hour",FALSE,"https://a0.muscache.com/im/pictures/user/User-394644638/original/cb460e85-858f-4fbf-95ea-b662e374686f.jpeg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/User-394644638/original/cb460e85-858f-4fbf-95ea-b662e374686f.jpeg?aki_policy=profile_x_medium",24,29,TRUE,TRUE,"Oerlikon",47.409403,8.541575,"Entire serviced apartment","Entire home/apt",3,"1 bath",2,1,1125,1,1,1,1125,1,908.2,TRUE,13,39,68,68,2023-12-27,3,3,3,2023-11-29,2023-12-13,3.33,4,3,4,5,4.33,4,TRUE,5,5,0,0,3,89,100,105,35
1008070553101720192,"https://www.airbnb.com/rooms/1008070553101720142",20231227173841,2023-12-27,"city scrape","Serviced apartment in Zürich · ★New · 1 bedroom · 2 beds · 1 bath","https://a0.muscache.com/pictures/miso/Hosting-1008070553101720142/original/560f1323-ce26-4480-93c0-7ace2d87ad71.jpeg",394644638,"https://www.airbnb.com/users/show/394644638","Marco",2021-03-29,"within an hour",FALSE,"https://a0.muscache.com/im/pictures/user/User-394644638/original/cb460e85-858f-4fbf-95ea-b662e374686f.jpeg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/User-394644638/original/cb460e85-858f-4fbf-95ea-b662e374686f.jpeg?aki_policy=profile_x_medium",24,29,TRUE,TRUE,"Oerlikon",47.409403,8.541575,"Entire serviced apartment","Entire home/apt",3,"1 bath",2,1,1125,1,1,1,1125,1,859.5,TRUE,25,55,85,85,2023-12-27,2,2,0,2023-11-10,2023-11-19,4,4,4,3.5,4.5,3.5,3.5,TRUE,5,5,0,0,1.25,89,100,105,35
1008550014622306304,"https://www.airbnb.com/rooms/1008550014622306301",20231227173841,2023-12-27,"city scrape","Rental unit in Zürich · ★5.0 · 1 bedroom · 1 bed · 1 bath","https://a0.muscache.com/pictures/miso/Hosting-1008550014622306301/original/17ddebbc-ded5-4bcf-92ed-0c31ca38edb9.jpeg",499601837,"https://www.airbnb.com/users/show/499601837","Jonathan",2023-02-05,"within an hour",FALSE,"https://a0.muscache.com/im/pictures/user/3936878c-e5a4-4bda-870d-1b510f94e86e.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/3936878c-e5a4-4bda-870d-1b510f94e86e.jpg?aki_policy=profile_x_medium",1,3,TRUE,TRUE,"Alt-Wiedikon",47.3606208,8.522554,"Entire rental unit","Entire home/apt",2,"1 bath",1,3,365,3,3,365,365,3,365,TRUE,15,29,33,33,2023-12-27,6,6,3,2023-10-30,2023-12-20,5,4.83,4.83,5,4.83,5,4.67,TRUE,1,1,0,0,3.05,100,100,85,42.5
1010009592531966848,"https://www.airbnb.com/rooms/1010009592531966925",20231227173841,2023-12-27,"city scrape","Rental unit in Zürich · ★New · 1 bedroom · 2 beds · 1 shared bath","https://a0.muscache.com/pictures/hosting/Hosting-1010009592531966925/original/1a36bd09-d487-4202-a447-b2d1bf7941eb.jpeg",543401914,"https://www.airbnb.com/users/show/543401914","Dauti",2023-10-25,"within an hour",FALSE,"https://a0.muscache.com/im/pictures/user/User-543401914/original/c02c4084-271a-4585-888e-3b8aad590794.jpeg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/User-543401914/original/c02c4084-271a-4585-888e-3b8aad590794.jpeg?aki_policy=profile_x_medium",1,1,TRUE,TRUE,"Langstrasse",47.3782554863536,8.52079121987139,"Private room in rental unit","Private room",2,"1 shared bath",2,1,365,1,1,365,365,1,365,TRUE,26,56,86,264,2023-12-27,1,1,1,2023-12-03,2023-12-03,5,5,5,5,5,5,4,FALSE,1,0,1,0,1,100,100,127,127
1010695833999376512,"https://www.airbnb.com/rooms/1010695833999376493",20231227173841,2023-12-28,"city scrape","Rental unit in Zürich · ★New · 2 bedrooms · 2 beds · 1 bath","https://a0.muscache.com/pictures/prohost-api/Hosting-1010695833999376493/original/cc3790a6-dc6f-4074-9123-a9a1711fc219.jpeg",1229459,"https://www.airbnb.com/users/show/1229459","Swissstay",2011-09-30,"within an hour",FALSE,"https://a0.muscache.com/im/pictures/user/User-1229459/original/33b8f4f9-ae9d-4904-bf57-797c38fd7ccc.jpeg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/User-1229459/original/33b8f4f9-ae9d-4904-bf57-797c38fd7ccc.jpeg?aki_policy=profile_x_medium",81,135,TRUE,TRUE,"Hottingen",47.3677662984493,8.5519414619296,"Entire rental unit","Entire home/apt",4,"1 bath",2,2,90,2,3,90,90,2.9,90,TRUE,20,42,70,70,2023-12-28,1,1,0,2023-11-22,2023-11-22,5,5,5,5,5,5,5,TRUE,55,55,0,0,0.81,99,99,150,37.5
1010988660022891776,"https://www.airbnb.com/rooms/1010988660022891764",20231227173841,2023-12-28,"city scrape","Rental unit in Zürich · ★New · 1 bedroom · 3 beds · 1 bath","https://a0.muscache.com/pictures/miso/Hosting-1010988660022891764/original/5ddcc5ac-9a82-4dea-aa14-300de4d9ddea.jpeg",101390916,"https://www.airbnb.com/users/show/101390916","Samuel",2016-10-26,"within an hour",TRUE,"https://a0.muscache.com/im/pictures/user/cc933a9a-de39-4464-8b68-b9200d213e49.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/cc933a9a-de39-4464-8b68-b9200d213e49.jpg?aki_policy=profile_x_medium",2,4,TRUE,TRUE,"Seefeld",47.3614417,8.549858,"Entire rental unit","Entire home/apt",3,"1 bath",3,2,365,2,2,365,365,2,365,TRUE,21,51,81,81,2023-12-28,2,2,2,2023-12-06,2023-12-09,5,5,5,5,5,5,5,FALSE,1,1,0,0,2,100,88,220,73.3333333333333
1011400964663293184,"https://www.airbnb.com/rooms/1011400964663293153",20231227173841,2023-12-27,"city scrape","Rental unit in Zürich · ★4.86 · 1 bedroom · 1 bed · 1.5 baths","https://a0.muscache.com/pictures/115f93d5-2372-4e0d-8a02-482bdc3525d0.jpg",502567775,"https://www.airbnb.com/users/show/502567775","Catharina",2023-02-24,"within an hour",FALSE,"https://a0.muscache.com/im/pictures/user/86e8991e-534d-4ca6-bc12-7ec8d88ed9f7.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/86e8991e-534d-4ca6-bc12-7ec8d88ed9f7.jpg?aki_policy=profile_x_medium",1,1,TRUE,TRUE,"Seefeld",47.3572605,8.5533455,"Entire rental unit","Entire home/apt",2,"1.5 baths",1,2,1125,1,2,1125,1125,2,1125,TRUE,1,2,2,5,2023-12-27,7,7,7,2023-11-27,2023-12-17,4.86,4.86,4.71,4.57,4.71,5,4.57,FALSE,1,1,0,0,7,100,64,120,60
1011469602867276672,"https://www.airbnb.com/rooms/1011469602867276664",20231227173841,2023-12-27,"city scrape","Rental unit in Zürich · ★4.92 · 2 bedrooms · 2 beds · 1.5 baths","https://a0.muscache.com/pictures/miso/Hosting-1011469602867276664/original/6ff42c71-d20e-496b-9911-3099f14d5bc8.jpeg",23561865,"https://www.airbnb.com/users/show/23561865","Dimi",2014-11-10,"within an hour",TRUE,"https://a0.muscache.com/im/pictures/user/User-23561865/original/5bed8aa2-199c-4ad9-9be9-0bd9f844662a.png?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/User-23561865/original/5bed8aa2-199c-4ad9-9be9-0bd9f844662a.png?aki_policy=profile_x_medium",63,134,TRUE,TRUE,"City",47.3704923982541,8.53272795918158,"Entire rental unit","Entire home/apt",4,"1.5 baths",2,2,365,2,2,365,365,2,365,TRUE,15,20,20,20,2023-12-27,13,13,6,2023-11-06,2023-12-24,4.92,5,5,4.92,5,5,4.77,TRUE,61,61,0,0,7.5,100,99,212,53
1012120964702329728,"https://www.airbnb.com/rooms/1012120964702329726",20231227173841,2023-12-27,"city scrape","Rental unit in Zürich · ★4.75 · 1 bedroom · 1 bed · 1 bath","https://a0.muscache.com/pictures/2693fed8-b3f1-4da8-8579-9813e45d902e.jpg",376117552,"https://www.airbnb.com/users/show/376117552","Clautilde",2020-11-18,"within an hour",FALSE,"https://a0.muscache.com/im/pictures/user/User-376117552/original/e6f12b3e-f759-4174-99f9-b232e99fd294.jpeg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/User-376117552/original/e6f12b3e-f759-4174-99f9-b232e99fd294.jpeg?aki_policy=profile_x_medium",2,3,TRUE,TRUE,"Rathaus",47.3756420737176,8.54428008198738,"Entire rental unit","Entire home/apt",3,"1 bath",1,1,1125,1,5,1125,1125,2.5,1125,TRUE,14,41,66,152,2023-12-27,20,20,12,2023-11-03,2023-12-27,4.75,4.74,4.84,4.95,4.95,4.74,4.53,TRUE,1,1,0,0,10.91,100,100,113,37.6666666666667
1012344283253130880,"https://www.airbnb.com/rooms/1012344283253130814",20231227173841,2023-12-27,"city scrape","Rental unit in Zürich · ★5.0 · 1 bedroom · 1 bed · 1 bath","https://a0.muscache.com/pictures/miso/Hosting-1012344283253130814/original/e49d9819-8a79-4c92-a4dd-52f6475c5017.jpeg",529796115,"https://www.airbnb.com/users/show/529796115","Thomas",2023-08-04,"within an hour",TRUE,"https://a0.muscache.com/im/pictures/user/User-529796115/original/037df176-252d-4644-a576-f303ef2247c3.png?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/User-529796115/original/037df176-252d-4644-a576-f303ef2247c3.png?aki_policy=profile_x_medium",3,3,TRUE,TRUE,"Oerlikon",47.4051891,8.5488198,"Entire rental unit","Entire home/apt",2,"1 bath",1,1,365,1,2,1125,1125,2,1125,TRUE,14,44,74,349,2023-12-27,4,4,0,2023-11-03,2023-11-22,5,5,5,5,5,5,5,TRUE,3,3,0,0,2.18,100,100,156,78
1013591153317372928,"https://www.airbnb.com/rooms/1013591153317372893",20231227173841,2023-12-27,"city scrape","Rental unit in Zürich · ★4.54 · 1 bedroom · 1 bed · 1 bath","https://a0.muscache.com/pictures/miso/Hosting-1013591153317372893/original/ff7b1452-6ff9-4fd3-bbce-017c442ec00d.jpeg",544081032,"https://www.airbnb.com/users/show/544081032","Monica",2023-10-30,"within an hour",FALSE,"https://a0.muscache.com/im/pictures/user/User-544081032/original/4b1deb05-dc56-4e2f-9f4b-284b359e77ad.jpeg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/User-544081032/original/4b1deb05-dc56-4e2f-9f4b-284b359e77ad.jpeg?aki_policy=profile_x_medium",1,1,TRUE,TRUE,"Oerlikon",47.4111207907565,8.54314757219414,"Private room in rental unit","Private room",2,"1 bath",1,1,365,1,1,365,365,1,365,TRUE,8,25,36,133,2023-12-27,13,13,6,2023-11-05,2023-12-15,4.54,4.31,4.62,4.38,4.62,4.46,4.31,FALSE,1,0,1,0,7.36,91,100,65,65
1013688300243817216,"https://www.airbnb.com/rooms/1013688300243817334",20231227173841,2023-12-27,"city scrape","Rental unit in Zürich · ★New · 1 bedroom · 3 beds · 1.5 baths","https://a0.muscache.com/pictures/hosting/Hosting-1013688300243817334/original/78c849bb-cfd5-4ecf-9e31-635fcfcc08f9.jpeg",348327394,"https://www.airbnb.com/users/show/348327394","Saschja",2020-06-01,"within an hour",FALSE,"https://a0.muscache.com/im/pictures/user/User-348327394/original/7fdceb86-3a87-4341-9343-601a56345f8f.jpeg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/User-348327394/original/7fdceb86-3a87-4341-9343-601a56345f8f.jpeg?aki_policy=profile_x_medium",8,11,TRUE,TRUE,"Langstrasse",47.3755265552361,8.52850350020274,"Entire rental unit","Entire home/apt",4,"1.5 baths",3,2,365,2,2,365,365,2,365,TRUE,16,46,76,163,2023-12-27,2,2,1,2023-11-04,2023-12-10,3.5,5,3,5,3.5,5,3.5,TRUE,4,4,0,0,1.11,100,100,175,43.75
1014519416715424000,"https://www.airbnb.com/rooms/1014519416715423998",20231227173841,2023-12-27,"city scrape","Rental unit in Zürich · ★5.0 · 1 bedroom · 1 bed · 1 bath","https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTAxNDUxOTQxNjcxNTQyMzk5OA%3D%3D/original/af1c716c-d40e-480e-acc2-6b14f4029ef9.jpeg",542371551,"https://www.airbnb.com/users/show/542371551","Anna",2023-10-18,"within an hour",FALSE,"https://a0.muscache.com/im/pictures/user/User-542371551/original/b157959f-3ef3-4d56-ad95-3575d28c39df.jpeg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/User-542371551/original/b157959f-3ef3-4d56-ad95-3575d28c39df.jpeg?aki_policy=profile_x_medium",1,1,TRUE,TRUE,"Sihlfeld",47.3731657645241,8.52009878464397,"Entire rental unit","Entire home/apt",2,"1 bath",1,5,365,5,5,365,365,5,365,TRUE,11,19,30,168,2023-12-27,3,3,2,2023-11-12,2023-12-16,5,5,5,5,5,5,5,TRUE,1,1,0,0,1.96,100,100,141,70.5
1014586062487873280,"https://www.airbnb.com/rooms/1014586062487873367",20231227173841,2023-12-28,"city scrape","Rental unit in Zürich · ★4.0 · 2 bedrooms · 5 beds · 1 bath","https://a0.muscache.com/pictures/miso/Hosting-1014586062487873367/original/4a220ffc-836a-42d4-9ec5-d4e8d05a4bba.jpeg",541414255,"https://www.airbnb.com/users/show/541414255","Longstreet",2023-10-11,"within an hour",FALSE,"https://a0.muscache.com/im/pictures/user/User-541414255/original/b702a483-57a3-4f3e-8ba6-d86eb2cad30f.jpeg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/User-541414255/original/b702a483-57a3-4f3e-8ba6-d86eb2cad30f.jpeg?aki_policy=profile_x_medium",3,3,TRUE,TRUE,"Langstrasse",47.3774862331478,8.52615321766194,"Entire rental unit","Entire home/apt",6,"1 bath",5,2,30,2,3,1125,1125,2.1,1125,TRUE,22,48,78,341,2023-12-28,4,4,2,2023-11-12,2023-12-21,4,4.67,4.67,3.67,5,3.33,4.67,TRUE,3,3,0,0,2.55,100,91,169,28.1666666666667
1014604472488529408,"https://www.airbnb.com/rooms/1014604472488529464",20231227173841,2023-12-28,"city scrape","Rental unit in Zürich · ★New · 1 bedroom · 4 beds · 1 bath","https://a0.muscache.com/pictures/miso/Hosting-1014604472488529464/original/43f104fa-25df-47ea-a93b-77ca90a08c2a.jpeg",541414255,"https://www.airbnb.com/users/show/541414255","Longstreet",2023-10-11,"within an hour",FALSE,"https://a0.muscache.com/im/pictures/user/User-541414255/original/b702a483-57a3-4f3e-8ba6-d86eb2cad30f.jpeg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/User-541414255/original/b702a483-57a3-4f3e-8ba6-d86eb2cad30f.jpeg?aki_policy=profile_x_medium",3,3,TRUE,TRUE,"Langstrasse",47.3776225500322,8.52779414148724,"Entire rental unit","Entire home/apt",4,"1 bath",4,1,30,1,1,1125,1125,1,1125,TRUE,23,50,80,256,2023-12-28,2,2,0,2023-11-12,2023-11-19,4,4.5,4.5,4,3,4.5,3.5,TRUE,3,3,0,0,1.28,100,91,110,27.5
1015685542944686080,"https://www.airbnb.com/rooms/1015685542944686168",20231227173841,2023-12-27,"city scrape","Rental unit in Zürich · ★New · 1 bedroom · 1 bed · 1 bath","https://a0.muscache.com/pictures/hosting/Hosting-1015685542944686168/original/599dc08a-04d7-4e52-afcd-c48e6232c9a1.jpeg",498410676,"https://www.airbnb.com/users/show/498410676","Genilda",2023-01-28,"within an hour",FALSE,"https://a0.muscache.com/im/pictures/user/User-498410676/original/77903819-5f09-4674-a988-1a099147efc3.jpeg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/User-498410676/original/77903819-5f09-4674-a988-1a099147efc3.jpeg?aki_policy=profile_x_medium",1,5,TRUE,FALSE,"Altstetten",47.3870392021387,8.49780108346481,"Entire rental unit","Entire home/apt",2,"1 bath",1,1,365,1,1,365,365,1,365,TRUE,19,48,48,48,2023-12-27,1,1,0,2023-11-19,2023-11-19,5,5,5,5,5,5,5,FALSE,1,1,0,0,0.77,80,60,110,55
