"id","listing_url","scrape_id","last_scraped","source","name","picture_url","host_id","host_url","host_name","host_since","host_response_time","host_is_superhost","host_thumbnail_url","host_picture_url","host_listings_count","host_total_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_group_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms_text","beds","minimum_nights","maximum_nights","minimum_minimum_nights","maximum_minimum_nights","minimum_maximum_nights","maximum_maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","has_availability","availability_30","availability_60","availability_90","availability_365","calendar_last_scraped","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","calculated_host_listings_count_shared_rooms","reviews_per_month","host_response_rate_in_percent","host_acceptance_rate_in_percent","price_in_usd"
652938,"https://www.airbnb.com/rooms/652938",20231227173841,19718,"city scrape","Rental unit in Zurich · ★4.94 · 1 bedroom · 1 bed · 1 bath","https://a0.muscache.com/pictures/8821981/9b02289c_original.jpg",3275845,"https://www.airbnb.com/users/show/3275845","P.",15568,NA,FALSE,"https://a0.muscache.com/im/pictures/user/77c9d432-d676-46f4-b5d3-c60711d8cbf1.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/77c9d432-d676-46f4-b5d3-c60711d8cbf1.jpg?aki_policy=profile_x_medium",1,1,TRUE,TRUE,"Kreis 4",47.37307,8.53061,"Private room in rental unit","Private room",2,"1 bath",1,3,1125,3,3,1125,1125,3,1125,TRUE,30,60,90,365,19718,53,0,0,15589,17437,4.94,4.96,4.98,5,5,4.98,4.92,FALSE,1,0,1,0,0.38,NA,NA,131
706972,"https://www.airbnb.com/rooms/706972",20231227173841,19719,"city scrape","Rental unit in Zurich · ★4.88 · 1 bedroom · 1 bed · 1 bath","https://a0.muscache.com/pictures/10735468/23ca09e3_original.jpg",3072679,"https://www.airbnb.com/users/show/3072679","Felix",15548,NA,FALSE,"https://a0.muscache.com/im/users/3072679/profile_pic/1384192385/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/3072679/profile_pic/1384192385/original.jpg?aki_policy=profile_x_medium",5,5,TRUE,TRUE,"Kreis 10",47.39229,8.52951,"Entire rental unit","Entire home/apt",2,"1 bath",1,3,1125,3,3,1125,1125,3,1125,TRUE,0,0,0,0,19719,8,0,0,16713,18338,4.88,4.63,4.88,5,4.75,4.88,4.13,FALSE,5,5,0,0,0.08,NA,0,134
706997,"https://www.airbnb.com/rooms/706997",20231227173841,19719,"city scrape","Rental unit in Zurich · ★4.0 · 1 bedroom · 3 beds · 1 bath","https://a0.muscache.com/pictures/10735792/56a9729a_original.jpg",3072679,"https://www.airbnb.com/users/show/3072679","Felix",15548,NA,FALSE,"https://a0.muscache.com/im/users/3072679/profile_pic/1384192385/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/3072679/profile_pic/1384192385/original.jpg?aki_policy=profile_x_medium",5,5,TRUE,TRUE,"Kreis 10",47.39364,8.5285,"Entire rental unit","Entire home/apt",4,"1 bath",3,3,1125,3,3,1125,1125,3,1125,TRUE,0,0,0,0,19719,12,0,0,15795,18047,4,4.5,4.75,4.8,4.92,4.27,3.91,FALSE,5,5,0,0,0.09,NA,0,165
736917,"https://www.airbnb.com/rooms/736917",20231227173841,19718,"city scrape","Rental unit in Zurich · ★5.0 · 1 bedroom · 1 bed · 2 baths","https://a0.muscache.com/pictures/19649660/d28a20cd_original.jpg",3847136,"https://www.airbnb.com/users/show/3847136","Lars",15625,NA,FALSE,"https://a0.muscache.com/im/users/3847136/profile_pic/1369393897/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/3847136/profile_pic/1369393897/original.jpg?aki_policy=profile_x_medium",1,1,TRUE,TRUE,"Kreis 3",47.36451,8.51342,"Private room in rental unit","Private room",1,"2 baths",1,5,365,5,5,365,365,5,365,TRUE,22,52,82,83,19718,6,0,0,15943,16635,5,5,5,5,5,5,4.67,FALSE,1,0,1,0,0.05,NA,NA,78
743035,"https://www.airbnb.com/rooms/743035",20231227173841,19718,"city scrape","Home in Zurich · ★4.37 · 1 bedroom · 4 beds · 1 bath","https://a0.muscache.com/pictures/miso/Hosting-743035/original/ff64eb13-fad5-43e4-9452-f731a60b455e.jpeg",3891818,"https://www.airbnb.com/users/show/3891818","Jacqueline",15629,"a few days or more",FALSE,"https://a0.muscache.com/im/pictures/user/41792d8f-cf86-46c2-a89c-7db9de4685f2.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/41792d8f-cf86-46c2-a89c-7db9de4685f2.jpg?aki_policy=profile_x_medium",2,3,TRUE,TRUE,"Kreis 3",47.35491,8.48682,"Entire home","Entire home/apt",5,"1 bath",4,2,1001,2,2,1001,1001,2,1001,TRUE,0,0,0,202,19718,102,13,0,15884,19603,4.37,4.37,4.07,4.69,4.68,4.55,4.13,FALSE,1,1,0,0,0.8,0,81,236
751660,"https://www.airbnb.com/rooms/751660",20231227173841,19719,"previous scrape","Rental unit in Zurich · ★4.92 · 1 bedroom · 1 bed · 1 bath","https://a0.muscache.com/pictures/11083330/94eea43a_original.jpg",3952536,"https://www.airbnb.com/users/show/3952536","Monica",15636,NA,FALSE,"https://a0.muscache.com/im/pictures/user/21ae6630-1db2-404b-8c91-c1229409cae8.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/21ae6630-1db2-404b-8c91-c1229409cae8.jpg?aki_policy=profile_x_medium",1,2,TRUE,TRUE,"Kreis 3",47.37531,8.51494,"Entire rental unit","Entire home/apt",2,"1 bath",1,2,28,2,2,28,28,2,28,TRUE,0,0,0,0,19719,126,2,0,15648,19497,4.92,4.92,4.93,4.92,4.99,4.85,4.83,FALSE,1,1,0,0,0.93,NA,100,85
815055,"https://www.airbnb.com/rooms/815055",20231227173841,19718,"city scrape","Rental unit in Zurich · ★4.83 · 1 bedroom · 1 bed · 1.5 baths","https://a0.muscache.com/pictures/11536022/c448a9e5_original.jpg",3693420,"https://www.airbnb.com/users/show/3693420","Nathalie",15610,"within a day",FALSE,"https://a0.muscache.com/im/users/3693420/profile_pic/1354220157/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/3693420/profile_pic/1354220157/original.jpg?aki_policy=profile_x_medium",8,11,TRUE,TRUE,"Kreis 2",47.3366,8.53388,"Private room in rental unit","Private room",1,"1.5 baths",1,1,3,1,1,3,3,1,3,TRUE,0,24,54,54,19718,82,2,0,15780,19541,4.83,4.82,4.91,4.95,4.95,4.76,4.8,FALSE,1,0,1,0,0.62,100,22,49
898829,"https://www.airbnb.com/rooms/898829",20231227173841,19718,"city scrape","Rental unit in Zurich · ★4.93 · 1 bedroom · 1 bed · 1 private bath","https://a0.muscache.com/pictures/13073965/a30afff8_original.jpg",4797927,"https://www.airbnb.com/users/show/4797927","Pietro",15726,"within an hour",FALSE,"https://a0.muscache.com/im/pictures/user/34be3327-4419-4e4c-9153-ac00120bd427.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/34be3327-4419-4e4c-9153-ac00120bd427.jpg?aki_policy=profile_x_medium",1,1,TRUE,TRUE,"Kreis 11",47.42659,8.546569,"Private room in rental unit","Private room",2,"1 private bath",1,1,1125,1,1,1125,1125,1,1125,TRUE,6,35,62,320,19718,283,49,6,15801,19716,4.93,4.96,4.98,4.94,4.91,4.78,4.92,FALSE,1,0,1,0,2.17,100,49,61
944102,"https://www.airbnb.com/rooms/944102",20231227173841,19718,"city scrape","Rental unit in Zurich · ★4.95 · 1 bedroom · 1 bed · 1.5 baths","https://a0.muscache.com/pictures/13975940/18a95577_original.jpg",4230023,"https://www.airbnb.com/users/show/4230023","Benjamin & Jan",15668,NA,TRUE,"https://a0.muscache.com/im/users/4230023/profile_pic/1361056063/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/4230023/profile_pic/1361056063/original.jpg?aki_policy=profile_x_medium",1,1,TRUE,TRUE,"Kreis 12",47.4017,8.5684,"Private room in rental unit","Private room",2,"1.5 baths",1,3,7,3,3,7,7,3,7,TRUE,22,52,82,353,19718,77,8,0,15824,19633,4.95,4.97,4.99,5,4.99,4.68,4.79,FALSE,1,0,1,0,0.59,NA,55,75
1028631,"https://www.airbnb.com/rooms/1028631",20231227173841,19719,"city scrape","Loft in Zurich · ★4.92 · 1 bedroom · 1 bed · 1 bath","https://a0.muscache.com/pictures/miso/Hosting-1028631/original/9c9d02d2-1ed4-491e-b7a6-a72966917296.jpeg",1145413,"https://www.airbnb.com/users/show/1145413","Jurgita",15229,"within an hour",FALSE,"https://a0.muscache.com/im/users/1145413/profile_pic/1334841955/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/1145413/profile_pic/1334841955/original.jpg?aki_policy=profile_x_medium",1,1,TRUE,TRUE,"Kreis 4",47.37362,8.5233,"Entire loft","Entire home/apt",2,"1 bath",1,4,30,4,4,1125,1125,4,1125,TRUE,30,60,90,122,19719,86,1,0,15809,19534,4.92,4.94,4.95,4.99,5,4.9,4.7,FALSE,1,1,0,0,0.66,100,71,629
