id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
12266289,Belle chambre en centre ville,41696984,Mathieu,Lausanne,Lausanne,46.52529,6.63323,Private room,,1,0,,,1,0,0,
12297618,Appartement de vacances,66296813,Anne-Catherine,Nyon,Gilly,46.46435,6.30784,Entire home/apt,121,2,68,2024-01-09,0.82,1,147,23,
12323566,Studio calme de 45m2 à 300m d‘une plage de sable,4587024,Ralph,Morges,Préverenges,46.51462,6.53231,Entire home/apt,91,5,23,2022-12-22,0.51,1,258,0,
12335446,Beautiful sunny central apartment!,10019029,Nicolas,Lausanne,Lausanne,46.52619,6.61693,Entire home/apt,,3,5,2019-10-16,0.05,1,0,0,
12350386,Top Floor Studio in Nyon,22491617,David,Nyon,Nyon,46.38061,6.22095,Entire home/apt,129,2,39,2023-07-24,0.41,1,4,3,
12352355,Charming apartment in heart of city,10019500,Gibran,Lausanne,Lausanne,46.52546,6.62854,Entire home/apt,97,10,7,2023-09-29,0.07,1,332,1,
12369349,Attics ;32m2; private entrance; lac vue; frigo,66836231,Karina,Riviera-Pays-d'Enhaut,La Tour-de-Peilz,46.45672,6.85923,Private room,50,2,91,2024-01-01,0.96,3,332,6,
12370639,Plenty of space; free bus/train; 50% boat&museum,66836231,Karina,Riviera-Pays-d'Enhaut,La Tour-de-Peilz,46.45327,6.86308,Entire home/apt,200,3,10,2019-10-19,0.11,3,355,0,
12418738,Single room close to downtown very quiet,67167133,Maite,Nyon,Nyon,46.38153,6.22397,Private room,55,3,115,2023-10-28,1.20,1,347,12,
12420602,Appartement  3.5 p.  Lausanne centre (26.7-04.08),23826324,Maud,Lausanne,Lausanne,46.51489,6.61877,Entire home/apt,,2,3,2018-08-03,0.03,1,0,0,
12422613,Montreux Jazz Festival on a budget,67193176,Loïse,Riviera-Pays-d'Enhaut,Vevey,46.46524,6.83742,Entire home/apt,,18,0,,,1,0,0,
12429767,"Mountains, rivers, caring hosts and great fun",67235180,Brendan,Riviera-Pays-d'Enhaut,Château-d'Oex,46.47417,7.15495,Private room,45,1,61,2024-01-02,0.65,2,0,1,
12470621,Charmant appart au centre ville,67492071,Syoum,Lausanne,Lausanne,46.52698,6.61937,Entire home/apt,98,2,136,2018-06-10,1.42,1,160,0,
12482853,Beautiful apartment with 3bedrooms,64329935,Riad,Lausanne,Lausanne,46.52408,6.60442,Private room,,2,0,,,1,0,0,
12501574,Villa 2 étages 200m2 !,67696578,Patrick,Riviera-Pays-d'Enhaut,Corsier-sur-Vevey,46.47841,6.8528,Entire home/apt,180,15,12,2023-08-15,0.13,1,89,5,
12502130,"Cosy and Bright Villa, Lake View, Garden",46143912,Philippe,Riviera-Pays-d'Enhaut,Montreux,46.4482,6.89422,Entire home/apt,300,5,3,2016-07-17,0.03,13,68,0,
12539008,"28m2 room,shared kit/bath, in a 160m2 family's apt",66836231,Karina,Riviera-Pays-d'Enhaut,La Tour-de-Peilz,46.45437,6.86328,Private room,50,6,2,2017-07-09,0.02,3,92,0,
12542258,belle chambre au coeur de Lausanne,16297538,Hilda,Lausanne,Lausanne,46.52442,6.62946,Private room,65,1,21,2023-03-03,0.25,2,90,0,
12556749,jolie chambre au coeur du village,53153637,Manuelle,Morges,Préverenges,46.51938,6.52454,Private room,,3,2,2018-04-28,0.03,1,0,0,
12566808,Situation idéale et vue exceptionnelle,22645857,Jonathan,Lavaux-Oron,Pully,46.50948,6.64505,Entire home/apt,,6,3,2022-08-01,0.05,1,0,0,
12597105,Furnished bright studio near lake,15685983,Sara,Morges,Morges,46.51371,6.49622,Entire home/apt,,1,1,2016-09-11,0.01,1,0,0,
12695116,Magnifique loft en plein centre à côté du lac,13250063,Katharine,Riviera-Pays-d'Enhaut,Vevey,46.45691,6.8521,Entire home/apt,250,5,8,2023-08-01,0.09,1,66,1,
